len,lfm,factor
0.25,0,242.2
0.5,0,171.27
1,0,121.1
2,0,85.63
3,0,69.92
4,0,60.55
5,0,54.16
6,0,49.44
7,0,45.77
8,0,42.82
9,0,40.37
10,0,38.3
11,0,36.51
12,0,34.96
0.25,100,183.33
0.5,100,129.63
1,100,91.61
2,100,64.89
3,100,52.88
4,100,45.81
5,100,40.99
6,100,37.39
7,100,34.61
8,100,32.39
9,100,30.53
10,100,28.97
11,100,27.62
12,100,26.44
0.25,200,129.63
0.5,200,91.66
1,200,64.77
2,200,45.88
3,200,37.39
4,200,32.39
5,200,28.98
6,200,26.44
7,200,24.47
8,200,22.9
9,200,21.58
10,200,20.48
11,200,19.53
12,200,18.69
0.25,300,105.84
0.5,300,74.84
1,300,52.89
2,300,37.46
3,300,30.53
4,300,26.45
5,300,23.66
6,300,21.58
7,300,19.98
8,300,18.7
9,300,17.62
10,300,16.72
11,300,15.95
12,300,15.26
0.25,400,91.66
0.5,400,64.81
1,400,45.8
2,400,32.44
3,400,26.44
4,400,22.9
5,400,20.49
6,400,18.69
7,400,17.3
8,400,16.19
9,400,15.26
10,400,14.48
11,400,13.81
12,400,13.22
0.25,500,81.98
0.5,500,57.97
1,500,40.96
2,500,29.02
3,500,23.64
4,500,20.49
5,500,18.33
6,500,16.72
7,500,15.48
8,500,14.48
9,500,13.65
10,500,12.95
11,500,12.35
12,500,11.82
0.25,600,74.84
0.5,600,52.92
1,600,37.4
2,600,26.49
3,600,21.58
4,600,18.7
5,600,16.73
6,600,15.26
7,600,14.13
8,600,13.22
9,600,12.46
10,600,11.82
11,600,11.27
12,600,10.19
0.25,700,69.29
0.5,700,48.99
1,700,34.62
2,700,24.52
3,700,19.98
4,700,17.31
5,700,15.49
6,700,14.13
7,700,13.08
8,700,12.24
9,700,11.53
10,700,10.94
11,700,10.44
12,700,9.99
0.25,800,64.81
0.5,800,45.83
1,800,32.38
2,800,22.94
3,800,18.69
4,800,16.19
5,800,14.49
6,800,13.22
7,800,12.23
8,800,11.45
9,800,10.79
10,800,10.24
11,800,9.16
12,800,9.34
0.25,900,61.11
0.5,900,43.21
1,900,30.53
2,900,21.63
3,900,17.62
4,900,15.27
5,900,13.66
6,900,12.46
7,900,11.53
8,900,10.79
9,900,10.17
10,900,9.65
11,900,9.2
12,900,8.81
0.25,1000,57.97
0.5,1000,40.99
1,1000,28.97
2,1000,20.52
3,1000,16.72
4,1000,14.48
5,1000,12.96
6,1000,11.82
7,1000,10.94
8,1000,10.24
9,1000,9.65
10,1000,9.16
11,1000,8.73
12,1000,8.36
0.25,1100,55.27
0.5,1100,39.08
1,1100,27.62
2,1100,19.56
3,1100,15.94
4,1100,13.81
5,1100,12.36
6,1100,11.27
7,1100,10.43
8,1100,9.76
9,1100,9.2
10,1100,8.73
11,1100,8.32
12,1100,7.91
0.25,1200,52.92
0.5,1200,37.42
1,1200,26.44
2,1200,18.73
3,1200,15.26
4,1200,13.22
5,1200,11.83
6,1200,10.79
7,1200,9.99
8,1200,9.35
9,1200,8.81
10,1200,8.36
11,1200,7.97
12,1200,7.63
